cluster_number,cluster_id,cluster_name,product_group,products,link,image
5,1,"Pop Culture Icons: Kardashian, Music & Fashion",Kardashian-Jenner Fashion & Beauty,Kylie Jenner Lip Kits,https://kyliecosmetics.com/collections/kylie-cosmetics-lips-lip-kits,https://kyliecosmetics.com/cdn/shop/products/gkmjgkgk26n0ejcomsdm.jpg?crop=center&height=600&v=1676330018&width=600
5,1,"Pop Culture Icons: Kardashian, Music & Fashion",Kardashian-Jenner Fashion & Beauty,Kim Kardashian Skims Collection,https://skims.com/,https://cdn.skims.com/images/hfqi0zm0/production/9be5d03a2096a1b7708196e4291d482a115d5839-3000x1298.jpg?w=1944&q=95&auto=format
5,1,"Pop Culture Icons: Kardashian, Music & Fashion",Kardashian-Jenner Fashion & Beauty,Kendall Jenner’s Model-Inspired Fashion,https://www.vogue.co.uk/fashion/article/kendall-jenner-style,"https://media.vogue.co.uk/photos/629494e673fcb8b791b84c36/2:3/w_1920,c_limit/GettyImages-1346773842.jpg"
5,1,"Pop Culture Icons: Kardashian, Music & Fashion",Pop Music Merchandise,Britney Spears Iconic Merch,https://store.britneyspears.com/,https://store.britneyspears.com/cdn/shop/files/BS_BOMT_banner1_fad32866-7966-4439-961e-b09d97a715c3.png?v=1705073038&width=1600
5,1,"Pop Culture Icons: Kardashian, Music & Fashion",Pop Music Merchandise,Lady Gaga Collections,https://shop.ladygaga.com/,https://shop.ladygaga.com/cdn/shop/files/Banner_Desktop-02.png?v=1727192456&width=2000
5,1,"Pop Culture Icons: Kardashian, Music & Fashion",Pop Music Merchandise,Zendaya Music & Movie Combo Box Set,https://www.amazon.com/Spider-man-Collection-Blu-ray-Spider-Verse-Homecoming/dp/B08FV6TRSH,https://m.media-amazon.com/images/I/51mICCdRL6L._SX342_.jpg
5,1,"Pop Culture Icons: Kardashian, Music & Fashion",Celebrity Fashion & Lifestyle,Beyoncé Ivy Park Collection,https://www.vanityfair.com/style/photos/2021/12/beyonces-new-ivy-park-new-collection-is-here-shop-the-halls-of-ivy,https://media.vanityfair.com/photos/61b11d0c79f401e1b62bec8f/3:4/w_1920%2Cc_limit/HC5969_FR_Torso.jpg
5,1,"Pop Culture Icons: Kardashian, Music & Fashion",Celebrity Fashion & Lifestyle,Serena Williams x Nike Tennis Apparel,Serena Williams Collection. Nike.com,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/39f91efc-7cd7-4742-ba66-949f38823e8f/W+NSW+SWDC+OS+BOMBER.png"
5,1,"Pop Culture Icons: Kardashian, Music & Fashion",Celebrity Fashion & Lifestyle,Miley Cyrus Vintage Rock Apparel,https://shop.mileycyrus.com/,https://shop.mileycyrus.com/cdn/shop/files/FlatlayFront_360x.png?v=1715892795
5,2,NBA & WWE,Sports Apparel and Merchandise,LeBron James Lakers Jersey,https://global.nbastore.com/en/?CMP=FUS-KYDILES9&portal=KYDILES9,https://images.footballfanatics.com/logo-gear/nba-nike-team-31-shorts-mens_ss5_p-13374249+u-n7vnfc5acmpblmlp4y39+v-rq63w9b4u54lzsnvpedy.jpg?_hv=2&w=340
